Altium Designer Pick and Place Locations
C:\Subversion\MB1075-STM32F4-BigManta2M-419-Disco\Trunk\02-Manufacturing\MB1075D_PCB\Assembly\MB1075D_PickandPlace.txt

========================================================================================================================
File Design Information:

Date:       27/02/20
Time:       15:55
Revision:   17
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                                                                         
U4         STMPE811QTR        TopLayer    QFN16_3X3                43.6000      72.1000      180      "S-Touch® advanced resistive touchscreen controller, with 8-bit GPIO expander"      
R46        100K               TopLayer    0402R                    36.5000      76.5000      180      "Resistor 0402 / 0603 / 0805"                                                       
R34        100K               TopLayer    0402R                    37.8473      76.5000      180      "Resistor 0402 / 0603 / 0805"                                                       
R33        100K               TopLayer    0402R                    39.2500      76.5000      180      "Resistor 0402 / 0603 / 0805"                                                       
R32        100K               TopLayer    0402R                    40.6000      76.5000      180      "Resistor 0402 / 0603 / 0805"                                                       
R31        4K7                TopLayer    0402R                    41.9650      76.5000      0        "Resistor 0402 / 0603 / 0805"                                                       
C49        100nF              TopLayer    0402C                    43.3099      76.4932      0        "Capacitor 0402 / 0603 / 0805"                                                      
LD4        Red                TopLayer    0603D                    16.0000      75.7500      270      "Typical RED, GREEN, YELLOW, AMBER GaAs LED"                                        
R16        100                TopLayer    0402R                    35.2500      99.7500      180      "Resistor 0402 / 0603 / 0805"                                                       
JP2        ""                 TopLayer    SIP2/2.54                59.6700      114.6900     270      ""                                                                                  
C30        100nF              BottomLayer 0402C                    40.8000      64.3000      360      "Capacitor 0402 / 0603 / 0805"                                                      
R30        4K7                BottomLayer 0402R                    45.5000      77.1000      360      "Resistor 0402 / 0603 / 0805"                                                       
U2         STM32F103CBT6      TopLayer    QFP48_7x7                29.1900      101.9900     270      "Medium-density performance line ARM-based 32-bit MCU with 128KB Flash"             
R72        0                  BottomLayer 0402R                    49.5000      1.7500       90       "Resistor 0402 / 0603 / 0805"                                                       
R39        [N/A]              BottomLayer 0402R                    49.0850      77.0600      90       "Resistor 0402 / 0603 / 0805"                                                       
JP3        ""                 TopLayer    SIP2/2.54                17.7600      93.1000      180      ""                                                                                  
C33        100nF              BottomLayer 0402C                    18.6000      62.1000      270      "Capacitor 0402 / 0603 / 0805"                                                      
R8         100K               TopLayer    0402R                    27.9200      108.9750     0        "Resistor 0402 / 0603 / 0805"                                                       
R53        0                  BottomLayer 0402R                    24.0000      68.3000      360      "Resistor 0402 / 0603 / 0805"                                                       
C43        100nF              BottomLayer 0402C                    31.2000      36.7000      90       "Capacitor 0402 / 0603 / 0805"                                                      
R22        220K               TopLayer    0402R                    29.2500      85.7500      180      "Resistor 0402 / 0603 / 0805"                                                       
R74        0                  BottomLayer 0402R                    49.2000      74.3000      90       "Resistor 0402 / 0603 / 0805"                                                       
R12        0                  TopLayer    0402R                    34.2700      108.9750     0        "Resistor 0402 / 0603 / 0805"                                                       
R52        0                  BottomLayer 0402R                    20.8000      68.3000      360      "Resistor 0402 / 0603 / 0805"                                                       
R60        4K7                BottomLayer 0402R                    47.2875      58.4925      180      "Resistor 0402 / 0603 / 0805"                                                       
C10        100nF              TopLayer    0402C                    32.0000      94.5000      180      "Capacitor 0402 / 0603 / 0805"                                                      
C26        1uF                BottomLayer TAN-A                    42.2500      70.7500      270      "Polarized Capacitor (Radial)"                                                      
JP4        JP2                TopLayer    SIP2/2.54                6.3300       90.5600      90       ""                                                                                  
C20        20pF               BottomLayer 0402C                    32.5000      73.7500      360      "Capacitor 0402 / 0603 / 0805"                                                      
D2         BAT60JFILM         TopLayer    SOD323/A                 36.8100      108.9750     180      BAT60JFILM                                                                          
R61        510                BottomLayer 0402R                    15.8550      56.9050      270      "Resistor 0402 / 0603 / 0805"                                                       
R36        4K7                BottomLayer 0402R                    16.0000      74.9000      360      "Resistor 0402 / 0603 / 0805"                                                       
R54        0                  BottomLayer 0402R                    27.9200      68.3350      360      "Resistor 0402 / 0603 / 0805"                                                       
R64        22                 BottomLayer 0402R                    29.9600      8.7500       180      "Resistor 0402 / 0603 / 0805"                                                       
R7         10K                TopLayer    0402R                    24.1100      108.9750     0        "Resistor 0402 / 0603 / 0805"                                                       
R70        330                BottomLayer 0603R                    43.1750      2.1900       90       "Resistor 0402 / 0603 / 0805"                                                       
R50        0                  BottomLayer 0603R                    18.3950      68.0175      270      "Resistor 0402 / 0603 / 0805"                                                       
C9         100nF              TopLayer    0402C                    26.0000      94.5000      180      "Capacitor 0402 / 0603 / 0805"                                                      
R9         100K               TopLayer    0402R                    30.4600      108.9750     0        "Resistor 0402 / 0603 / 0805"                                                       
R51        4K7                BottomLayer 0402R                    19.6000      68.3000      360      "Resistor 0402 / 0603 / 0805"                                                       
C34        100nF              BottomLayer 0402C                    18.6000      60.9000      270      "Capacitor 0402 / 0603 / 0805"                                                      
C48        100nF              TopLayer    0402C                    52.3000      74.7000      270      "Capacitor 0402 / 0603 / 0805"                                                      
C3         10nF_X7R_0603      TopLayer    0603C                    39.9850      112.7850     270      "0603  X7R 10NF"                                                                    
C32        100nF              BottomLayer 0402C                    39.0000      63.5000      90       "Capacitor 0402 / 0603 / 0805"                                                      
C47        100nF              BottomLayer 0402C                    25.8000      32.5000      90       "Capacitor 0402 / 0603 / 0805"                                                      
C55        100nF              BottomLayer 0402C                    48.7971      71.8000      360      "Capacitor 0402 / 0603 / 0805"                                                      
B1         SW-PUSH-CMS_BLUE   TopLayer    BP1CMS                   20.3000      84.2100      90       "Non-Open Push-Button 0.1A 24V"                                                     
C5         1µF_X5R_0603       TopLayer    0603C                    43.1600      109.6100     180      "0603  X5R 1µF"                                                                     
CN6        USB-MICRO-AB       BottomLayer USB-MICRO-AB             33.0000      3.3125       90       "USB-MICRO-AB, 47590-0001, SMT, MOLEX"                                              
R48        0                  BottomLayer 0603R                    15.2200      68.0175      270      "Resistor 0402 / 0603 / 0805"                                                       
SB7        "Circuit Breaker"  BottomLayer JP2_SMD                  38.7467      95.6400      180      "Circuit Breaker"                                                                   
SB26       "Circuit Breaker"  BottomLayer JP2_SMD                  47.9682      22.0000      360      "Circuit Breaker"                                                                   
R38        [N/A]              BottomLayer 0402R                    18.4000      74.9000      360      "Resistor 0402 / 0603 / 0805"                                                       
C42        2.2uF              BottomLayer TAN-A                    16.4000      37.7000      360      "Low ESR Ceramic Capacitor (X7R)"                                                   
X2         MC306-G-06Q-32.768 TopLayer    MC306-CRYSTAL            26.0150      72.7800      90       "Crystal oscillator for clock,32.768K,6PF,20PPM,-40~85 degree,SMT"                  
C14        4.7uF              TopLayer    TAN-A                    21.4000      73.8000      90       "Polarized Capacitor (Radial)"                                                      
CN3        SSM-104-L-DH       TopLayer    SSM-104-L-DH             55.8600      102.6250     270      "Header, 5-Pin, Dual row"                                                           
C8         100nF              TopLayer    0402C                    22.8400      100.7200     0        "Capacitor 0402 / 0603 / 0805"                                                      
SB13       "Circuit Breaker"  BottomLayer JP2_SMD                  38.7467      93.1000      180      "Circuit Breaker"                                                                   
CN2        "Header 6"         TopLayer    HDR1X6                   6.3300       101.9900     270      "Header, 6-Pin"                                                                     
X3         8MHz               TopLayer    XTAL1                    34.9692      71.5050      180      "Crystal Oscillator,8Mhz,20PF,20PPM,-10-70 degree,DIP,HC-49S"                       
B2         SW-PUSH-CMS_BLACK  TopLayer    BP1CMS                   45.7000      84.2100      270      "Non-Open Push-Button 0.1A 24V"                                                     
R55        4K7                BottomLayer 0402R                    34.2000      64.3000      360      "Resistor 0402 / 0603 / 0805"                                                       
R69        0                  BottomLayer 0402R                    53.7500      4.7500       270      "Resistor 0402 / 0603 / 0805"                                                       
U1         LD3985M33R         TopLayer    SOT-23-5L                43.1600      112.7850     270      "Ultra low drop-low noise BiCMOS voltage, regulators low ESR capacitors compatible" 
R14        22                 TopLayer    0402R                    9.5050       105.8000     90       "Resistor 0402 / 0603 / 0805"                                                       
