Trace lengths in MM

USB data lines
D- 10.4 + 25.1
D+ 11 + 24

SDRAM

Mine 				Ref design (MB1075)
CLK 11.8 + 14.9 = 26.7		35.1
A0 38 				40
A1 38				40.2
A2 38				40.1
A3 4.9 + 28.2 + 2.2 = 35.3	40.2
A4 40 + 9.4 + 2.3 = 51.7	53.1
A5 38.5 + 11 + 1.7 = 51.2	52.9
A6 37.5 + 14.2 = 51.7		39.1 + 15.7
A7 35 + 14.9 = 49.9		13 + 37.5
A8 15 + 34 = 49			37.1 + 12.9
A9 16.6 + 32 = 48.6		35.6 + 13.7
A10 20.7 + 4.9 = 25.6		28.1
A11 31 + 15.9 = 46.9		33.3 + 14.6
I have a different chip with an extra pin
A12 7 + 19.5 = 26.5

D0 5.6 + 24.4 = 30mm		28.1
D1 2.5 + 23.3 = 25.8		25.3
D2 1.4 + 18.5 = 19.9		24.3
D3 2.2 + 20.1 = 22.3		24
D4 40.3 + 16.4 = 56.7		42 + 15
D5 16.6 + 37.5 = 54.1		15.6 + 38.2
D6 34.8 + 17.1 = 51.9		35.3 + 16.4
D7 15.7 + 32 = 47.7		14.6 + 32
D8 16.2 + 33.3 = 49.5		15.3 + 33.4
D9 16.1 + 33.3 = 49.4		33.5 + 15.8
D10 16.4 + 13.8 + 17.2 = 47.4	16.4 + 32.5 = 48.9	
D11 12.4 + 16.7 + 18.1 = 47.2	32.6 + 16.5 = 49.1	
D12 31.6 + 16.8 = 48.4		16.4 + 32.1 = 48.5
D13 1.7 + 29.6 = 31.3		1.8 + 30.2
D14 30.4 + 1.8 = 32.2		1.7 + 31
D15 1.7 + 30.2 = 31.9		1.9 + 31.4 = 33.3	
