Designator,Mid X,Mid Y,Rotation,Layer
C1,134.33,-143.42875,0.0,top
C10,129.59,-97.43,180.0,top
C11,130.16,-90.66,90.0,top
C12,136.59,-85.95,180.0,top
C13,153.79,-88.75,90.0,top
C14,155.69,-101.75,270.0,top
C15,151.84,-111.2,180.0,top
C16,129.98,-102.35,90.0,top
C17,131.49,-109.19,270.0,top
C18,143.59,-85.95,0.0,top
C19,155.49,-96.75,270.0,top
C2,134.38,-144.72875,0.0,top
C20,138.93,-111.39,180.0,top
C21,144.89,-111.65,180.0,top
C22,155.64,-88.75,270.0,top
C23,148.27,-84.65,0.0,top
C24,155.44,-110.8,0.0,top
C25,129.71,-110.18,270.0,top
C26,134.34,-78.72,90.0,top
C27,133.09,-84.45,0.0,top
C28,137.09,-78.72,270.0,top
C29,134.84,-85.2,270.0,top
C3,136.94,-140.50875,270.0,top
C30,138.0,-83.6,90.0,top
C31,144.8,-83.2,270.0,top
C32,138.69,-85.95,180.0,top
C33,140.55,-68.65,180.0,top
C34,132.59,-55.35,0.0,top
C35,125.17,-64.35,0.0,top
C36,147.35,-58.15,0.0,top
C37,140.71,-58.15,180.0,top
C38,146.71,-70.65,0.0,top
C39,170.59,-47.79,270.0,top
C40,168.59,-47.83,270.0,top
C41,149.57,-63.15,90.0,top
C42,156.79,-57.95,180.0,top
C43,156.79,-55.45,180.0,top
C44,156.79,-52.95,180.0,top
C45,156.81,-49.45,180.0,top
C46,156.81,-46.95,180.0,top
C47,156.81,-44.45,180.0,top
C48,163.97,-53.8,90.0,top
C49,164.47,-57.85,270.0,top
C5,134.22,-137.55875,0.0,top
C50,172.99,-56.85,270.0,top
C51,173.34,-51.4,0.0,top
C52,173.29,-52.95,0.0,top
C53,147.09,-116.885679,0.0,top
C54,150.64,-116.885679,180.0,top
C55,132.09,-116.275679,90.0,top
C56,143.79,-116.935679,0.0,top
C57,154.59,-118.95,270.0,top
C58,150.11,-131.455679,0.0,top
C59,143.54,-131.315679,180.0,top
C6,134.43,-135.92875,0.0,top
D1,131.94,-138.05875,270.0,top
D2,130.38,-143.58,270.0,top
D3,138.365,-149.375,90.0,top
D4,162.59,-96.25,0.0,top
D5,162.6,-99.15,0.0,top
D6,128.13,-141.37875,180.0,top
GAIN_L1,130.55,-57.94,90.0,top
GAIN_R1,130.55,-64.4,90.0,top
HP_OUT1,144.49,-46.65,270.0,top
IN_JACK1,127.29,-46.65,270.0,top
J1,176.195,-41.95,270.0,top
J2,173.23,-150.95,90.0,top
L1,135.09,-82.45,180.0,top
L2,176.19,-47.025,270.0,top
P1,176.53,-102.87,0.0,bottom
P2,115.57,-102.87,0.0,bottom
R1,136.365,-149.375,90.0,top
R10,146.71,-68.65,0.0,top
R11,170.59,-44.27,270.0,top
R12,168.59,-44.17,270.0,top
R13,143.39,-68.65,180.0,top
R14,141.75,-70.65,180.0,top
R15,144.25,-56.15,0.0,top
R16,147.39,-56.15,0.0,top
R17,167.77,-60.45,0.0,top
R18,162.27,-55.32,270.0,top
R19,152.19,-44.4,0.0,top
R2,149.24,-85.8,180.0,top
R20,152.34,-52.86,0.0,top
R21,134.77,-41.65,0.0,top
R22,134.77,-43.9,0.0,top
R23,132.19,-53.65,0.0,top
R24,130.555,-60.75,180.0,top
R25,125.09,-62.65,0.0,top
R26,130.555,-67.45,180.0,top
R27,162.3,-97.65,0.0,top
R29,162.39,-100.45,0.0,top
R3,133.09,-85.45,0.0,top
R4,126.08,-144.92875,0.0,top
R5,131.49,-144.42875,90.0,top
R6,162.74,-85.5,270.0,top
R7,137.07,-59.69,0.0,top
R8,136.89,-66.15,0.0,top
R9,140.89,-56.15,180.0,top
SW1,159.49,-83.25,270.0,top
U.1,142.67,-98.7,90.0,top
U2,134.33,-140.50875,90.0,top
U3,143.9,-63.38,270.0,top
U4,168.72,-54.26,270.0,top
U5,132.49,-51.95,180.0,top
U6,125.19,-60.75,180.0,top
U7,142.59,-123.985679,180.0,top
USBC1,127.94,-148.83125,0.0,top
X1,141.4,-83.33,180.0,top
